appID,name,genres,categories,tags,short_description,true_label,predicted_label,is_error,error_type
1126580,The Captain is Dead,['Strategy'],"['Single-player' 'Multi-player' 'Co-op' 'Shared/Split Screen Co-op'
 'Shared/Split Screen' 'Steam Achievements' 'Remote Play Together'
 'Family Sharing']",[],"It’s the last 10 minutes of your favorite sci-fi TV show… except that this time things have gone seriously wrong and The Captain Is Dead! This turn-based, survival/strategy puts you in the Captain's chair as you try to save your crew from being blown to bits by aliens...",1,0,True,False Negative
437420,The Secret Order 3: Ancient Times,['Adventure' 'Casual'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards' 'Steam Cloud'
 'Family Sharing']",[],Find a way to destroy the ancient artifacts!,1,0,True,False Negative
564150,Rosenkreuzstilette,['Action' 'Indie'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Family Sharing']",[],"Rosenkreuzstilette is a mega-action-platformer game in which you step into the shoes of Spiritia Rosenberg, a virtuous young woman caught on the wrong side of a revolution instigated by her closest friends.",0,1,True,False Positive
445220,Avorion,['Action' 'Indie' 'Simulation'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP' 'Co-op'
 'Online Co-op' 'LAN Co-op' 'Cross-Platform Multiplayer'
 'Steam Achievements' 'Steam Trading Cards' 'Steam Workshop'
 'Valve Anti-Cheat enabled' 'Stats' 'Family Sharing']",[],"A procedural co-op space sandbox where players can build their own space ships out of dynamically scalable blocks. Fight epic space battles, explore, mine, trade, wage wars and build your own empire to save your galaxy from being torn apart by an unknown enemy.",1,0,True,False Negative
2585040,GUNVOLT RECORDS Cychronicle,['Action' 'Casual'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Cloud' 'Family Sharing']",[],"A new rhythm music game starring the songstresses of the Azure Striker Gunvolt series, Lumen, Lola, and Luxia singing 15 different songs. Follow the notes to the pounding beat and aim for a top score in this electrifying rhythm game!",0,1,True,False Positive
515040,Make America Great Again: The Trump Presidency,['Action' 'Casual' 'Indie' 'Simulation' 'Strategy'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Family Sharing']",[],A Pro-Donald Trump presidential simulation. Make America Rich Again through trade. Make America Safe again by Defeating ISIS. Make America Great Again!,1,0,True,False Negative
948880,Arena Renovation,['Casual' 'Indie' 'Simulation' 'Sports'],"['Single-player' 'Steam Achievements' 'Camera Comfort'
 'Custom Volume Controls' 'Playable without Timed Input' 'Save Anytime'
 'Family Sharing']",[],Take on the role of a one-man renovation team tasked with restoring various sports facilities to their former glory. Many of them have been destroyed as a result of time or lack of care. Don't let them go into complete oblivion - roll up your sleeves and breathe new life into them!,0,1,True,False Positive
437390,HoPiKo,['Action' 'Casual' 'Indie'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Cloud' 'Steam Leaderboards'
 'Remote Play on TV' 'Family Sharing']",[],"HoPiKo is an intense speed run platformer where you get to save gaming. Jump from platform to platform avoiding death, exploiting shortcuts and ripping through 100s of hand-crafted levels, each one dropped into a 5-stage mini run designed to break your mind!",0,1,True,False Positive
2485190,MediBang Paint for Desktop,['Animation & Modeling' 'Design & Illustration' 'Photo Editing'],[],[],"This is the perfect drawing app for those who draw illustrations and pictures. It features a paint and drawing function that can be used for doodling and drawing. It can also be used for sketching, coloring, and even creating digital art.",0,1,True,False Positive
1288790,BeachHead,['Action' 'Casual' 'Indie' 'Simulation'],"['Single-player' 'Steam Achievements' 'Tracked Controller Support'
 'Steam Cloud' 'Stats' 'Steam Leaderboards' 'Family Sharing']",[],"BEACHHEAD - IT'S NOT JUST A GAME, IT'S THE FUTURE OF REALITY. BeachHead 2000 changed the gaming paradigm by bringing a new gaming experience to life. 20 + years later, the original creators are doing it again. Try the new BEACHHEAD experience (VR or Desktop) and see for yourself.",0,1,True,False Positive
