appID,name,genres,categories,tags,short_description,true_label,predicted_label,is_error,error_type
1118880,Rituals in the Dark,['Indie' 'Simulation'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Family Sharing']",[],"A lesbian / yuri romance story with mild horror elements set in the rainy English seaside town of Scarborough. Our heroine, Aspen, meets the mysterious, beautiful Althea in the dead of night, but who is Althea really...?",0,1,True,False Positive
3487660,The Bunker,['Action' 'Adventure' 'Indie'],['Single-player' 'Family Sharing'],[],"Trapped in an abandoned bunker, you are alone—your friends locked out, something else locked in. This PSX, VHS-style found-footage psychological horror plunges you into a nightmare of analog terror. Will you unravel the truth, survive the bunker’s horrors, and discover the fate of your friends?",1,0,True,False Negative
364710,Wonky Pigeon!,['Action' 'Indie'],"['Single-player' 'Multi-player' 'Shared/Split Screen'
 'Steam Trading Cards' 'Partial Controller Support' 'Remote Play Together'
 'Family Sharing']",[],"Engage in the craziest war against humans.. as a pigeon! Use famous war tactics such as engagement, avoiding and target fixing to center unlucky people with poo and get points for that.",0,1,True,False Positive
1681060,Exogate Initiative,['Simulation' 'Strategy'],"['Single-player' 'Steam Achievements' 'Steam Workshop' 'Steam Cloud'
 'Includes level editor' 'Family Sharing']",[],"Build and manage mankind’s first mission across the universe! Create a sprawling facility underground, recruit a diverse group of specialists from around the globe and explore mysterious new worlds through the Exogate.",1,0,True,False Negative
1907060,Craft Hero - Prologue,['RPG' 'Simulation' 'Strategy' 'Free To Play'],['Single-player' 'Partial Controller Support'],[],"Gather resources by day, build and recruit by noon, defend your village by night! A new minimalism sandbox survival with countless new ideas – Craft Hero",1,0,True,False Negative
671580,NeoCube,['Casual'],['Single-player' 'Steam Achievements' 'Family Sharing'],[],Neocube is the puzzle game in which you try to find a way to pass a number of test chambers by using the unique features of a cube.,1,0,True,False Negative
447920,Drift (Over) Drive,['Indie' 'Racing'],['Single-player' 'Family Sharing'],[],"In DoD you take the role of a driver passionate about drifting, driving your car around the world on all kinds of environments and weather conditions, while taking on different challenges and avoiding all kinds of obstacles and hazards.",1,0,True,False Negative
1330080,The Fantastic Adventure of Monsieur Grape,['Adventure'],['Single-player' 'Steam Achievements'],[],"The Fantastic Adventure of Monsieur Grape is a 2.5D platformer where you play as Monsieur Grape: A high brow, high class, grape who is trying to save his friend Peanut from an evil piece of bread!",1,0,True,False Negative
1559450,Veneficium: A witch's tale,['Adventure' 'Casual' 'Free To Play' 'Indie'],['Single-player'],[],Veneficium is a cute and magical 3D platformer in which you help Alice uncover the faith of her coven. Alice has to use her magic to interact with different objects within a vast and magical world to overcome puzzles and obstacles.,1,0,True,False Negative
924360,Zenith Hunter,['Action' 'Free To Play' 'Indie'],['Single-player' 'Partial Controller Support'],[],Climb to the top of the Zenith in this fast-paced action platformer!,1,0,True,False Negative
